NCBI_Id,GeneID
LOC542552,Zm00001d026286
LOC542553,Zm00001d052316
LOC542554,Zm00001d008203
LOC542555,Zm00001d037905
LOC542556,Zm00001d045875
LOC542557,Zm00001d052527
LOC542558,Zm00001d045575
LOC542560,Zm00001d023929
LOC542561,Zm00001d036542
LOC542562,Zm00001d041246
LOC542563,Zm00001d036463
LOC542564,Zm00001d037636
LOC542566,Zm00001d029913
LOC542567,-
LOC542568,Zm00001d025705
LOC542569,Zm00001d032295
LOC542570,Zm00001d049576
LOC542571,Zm00001d029274
LOC542572,Zm00001d011882
LOC542573,Zm00001d017352
LOC542576,Zm00001d028408
LOC542578,Zm00001d012518
LOC542580,Zm00001d045563
LOC542581,Zm00001d046449
LOC542582,Zm00001d021891
LOC542583,Zm00001d050428
LOC542584,Zm00001d006372
LOC542585,Zm00001d039520
LOC542586,Zm00001d031961
LOC542587,Zm00001d042104
LOC542588,Zm00001d038851
LOC542589,Zm00001d011314
LOC542590,Zm00001d003776
LOC542591,Zm00001d036356
LOC542592,Zm00001d033174
LOC542595,Zm00001d038378
LOC542596,Zm00001d049952
LOC542597,Zm00001d047117
LOC542598,Zm00001d032695
LOC542599,Zm00001d000021
LOC542600,Zm00001d038376
LOC542601,Zm00001d022042
LOC542602,Zm00001d052194
LOC542603,Zm00001d022274
LOC542604,-
LOC542605,Zm00001d041819
LOC542606,Zm00001d029074
LOC542607,Zm00001d021070
LOC542608,Zm00001d041682
LOC542609,Zm00001d044495
LOC542610,Zm00001d039908
LOC542611,Zm00001d039496
LOC542612,Zm00001d002843
LOC542617,Zm00001d053239
LOC542618,Zm00001d053899
LOC542619,Zm00001d003006
LOC542620,Zm00001d037873
LOC542621,Zm00001d025721
LOC542622,Zm00001d005649
LOC542623,Zm00001d000392
LOC542624,Zm00001d019149
LOC542625,-
LOC542626,Zm00001d020424
LOC542627,Zm00001d050265
LOC542628,Zm00001d029978
LOC542629,Zm00001d048354
LOC542630,Zm00001d010870
LOC542631,Zm00001d024963
LOC542632,Zm00001d011154
LOC542633,Zm00001d042095
LOC542634,Zm00001d029696
LOC542636,Zm00001d011139
LOC542637,Zm00001d007951
LOC542638,Zm00001d033112
LOC542639,Zm00001d049499
LOC542640,Zm00001d006899
LOC542641,Zm00001d011741
LOC542642,Zm00001d038060
LOC542643,Zm00001d018037
LOC542644,Zm00001d005421
LOC542646,Zm00001d028951
LOC542647,Zm00001d039293
LOC542648,Zm00001d018031
LOC542649,Zm00001d029906
LOC542650,Zm00001d020970
LOC542651,Zm00001d008651
z1D_4,Zm00001d030855
LOC542653,Zm00001d035597
LOC542654,Zm00001d016935
LOC542656,Zm00001d053900
LOC542657,-
LOC542658,Zm00001d021433
LOC542659,Zm00001d047636
LOC542661,Zm00001d024821
LOC542662,Zm00001d020038
LOC542663,Zm00001d015618
LOC542664,Zm00001d021737
sbp4,Zm00001d046906
LOC542666,Zm00001d020941
LOC542667,Zm00001d009554
LOC542668,Zm00001d026088
LOC542669,-
LOC542670,Zm00001d050868
LOC542671,Zm00001d008489
LOC542672,Zm00001d027486
LOC542673,Zm00001d046781
LOC542675,Zm00001d051012
LOC542676,Zm00001d002434
LOC542677,-
LOC542678,Zm00001d003679
LOC542679,-
LOC542680,Zm00001d020666
LOC542681,Zm00001d044291
LOC542682,Zm00001d040696
LOC542683,Zm00001d013694
LOC542684,Zm00001d013269
LOC542685,Zm00001d032776
LOC542686,Zm00001d012394
LOC542687,Zm00001d028733
LOC542688,Zm00001d024207
LOC542689,Zm00001d024477
LOC542690,Zm00001d017139
LOC542693,Zm00001d004477
LOC542694,Zm00001d048584
LOC542695,Zm00001d018627
LOC542696,Zm00001d034520
LOC542697,Zm00001d031992
LOC542698,Zm00001d025690
LOC542700,Zm00001d035440
LOC542701,Zm00001d016446
LOC542702,Zm00001d039670
LOC542703,Zm00001d053016
LOC542704,Zm00001d034457
LOC542705,Zm00001d046996
LOC542706,Zm00001d049020
LOC542707,Zm00001d032789
LOC542708,Zm00001d005535
LOC542709,Zm00001d051465
LOC542710,Zm00001d022388
LOC542711,Zm00001d012036
LOC542712,Zm00001d001960
LOC542713,Zm00001d034345
LOC542714,Zm00001d011183
LOC542715,Zm00001d044228
LOC542716,Zm00001d007267
LOC542717,Zm00001d040173
LOC542718,Zm00001d035156
LOC542719,Zm00001d035087
LOC542720,Zm00001d031158
LOC542721,Zm00001d013428
LOC542722,Zm00001d029170
LOC542723,Zm00001d039566
LOC542725,Zm00001d031168
LOC542726,Zm00001d049666
LOC542727,Zm00001d045450
LOC542729,Zm00001d008548
LOC542732,Zm00001d019283
LOC542733,Zm00001d003157
LOC542734,Zm00001d034356
LOC542735,Zm00001d019669
LOC542736,Zm00001d014090
LOC542737,Zm00001d039131
LOC542738,Zm00001d038467
LOC542739,Zm00001d018573
LOC542740,Zm00001d043344
LOC542741,Zm00001d016237
LOC542743,Zm00001d044415
LOC542744,Zm00001d032502
LOC542745,Zm00001d044138
